Qualifying Name,State Postal Abbreviation,Summary Level,Geographic Component,State (FIPS Code),County of current residence,Census Tract,Block Group,Area Name,Median Household Income (In 2022 Inflation Adjusted Dollars),Average Family Income (In 2022 Inflation Adjusted Dollars),Median Family Income (In 2022 Inflation Adjusted Dollars),Households:,"Households: Less than $10,000","Households: $10,000 to $14,999","Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999","Households: $200,000 or More"
"Block Group 3, Census Tract 2115, Los Angeles County, California",ca,150,00,06,037,211500,3,Block Group 3,193875,357966.319444444,199750,369,19,11,0,5,0,37,0,8,0,0,7,58,22,5,35,162
"Block Group 1, Census Tract 2117.01, Los Angeles County, California",ca,150,00,06,037,211701,1,Block Group 1,96314,118425.903614458,103077,498,6,73,7,7,39,0,13,0,34,0,18,80,61,53,40,67
"Block Group 2, Census Tract 2117.01, Los Angeles County, California",ca,150,00,06,037,211701,2,Block Group 2,112540,484478.082191781,183750,569,26,0,12,11,0,0,0,0,25,14,169,19,57,7,95,134
"Block Group 3, Census Tract 2117.01, Los Angeles County, California",ca,150,00,06,037,211701,3,Block Group 3,91364,199873.831775701,,178,14,0,0,52,0,0,0,5,0,0,12,25,24,14,9,23
"Block Group 1, Census Tract 2117.03, Los Angeles County, California",ca,150,00,06,037,211703,1,Block Group 1,58000,78112.2615803815,72790,990,41,25,24,43,88,35,19,0,14,278,105,82,49,68,58,61
"Block Group 2, Census Tract 2117.03, Los Angeles County, California",ca,150,00,06,037,211703,2,Block Group 2,58063,75370.436187399,68264,1136,70,68,46,33,134,30,0,92,0,157,98,162,127,29,15,75
"Block Group 1, Census Tract 2117.04, Los Angeles County, California",ca,150,00,06,037,211704,1,Block Group 1,41618,90776.9230769231,74583,628,34,152,0,11,37,52,17,17,9,36,49,44,27,69,66,8
"Block Group 2, Census Tract 2117.04, Los Angeles County, California",ca,150,00,06,037,211704,2,Block Group 2,42474,86527.6923076923,55833,1025,62,67,62,120,47,42,65,48,0,101,49,107,57,99,55,44
"Block Group 1, Census Tract 2118.02, Los Angeles County, California",ca,150,00,06,037,211802,1,Block Group 1,29423,47874.8672566372,33371,982,106,121,91,47,153,43,13,0,16,132,25,110,63,8,54,0
"Block Group 2, Census Tract 2118.02, Los Angeles County, California",ca,150,00,06,037,211802,2,Block Group 2,55063,76933.8823529412,62841,816,79,38,42,59,36,0,46,14,41,92,47,98,107,43,63,11
"Block Group 3, Census Tract 2118.02, Los Angeles County, California",ca,150,00,06,037,211802,3,Block Group 3,55250,44118.6046511628,,355,82,0,0,27,0,18,0,0,0,64,50,52,28,19,0,15
"Block Group 1, Census Tract 2118.03, Los Angeles County, California",ca,150,00,06,037,211803,1,Block Group 1,40585,56408.9238845144,42036,741,150,0,0,22,39,44,101,75,18,50,72,64,42,16,40,8
"Block Group 2, Census Tract 2118.03, Los Angeles County, California",ca,150,00,06,037,211803,2,Block Group 2,69718,105147.787610619,117591,911,55,22,17,59,41,66,28,18,25,42,98,93,143,55,127,22
"Block Group 1, Census Tract 2118.04, Los Angeles County, California",ca,150,00,06,037,211804,1,Block Group 1,58988,59427.7486910995,47426,283,0,15,0,15,34,18,0,30,17,21,6,91,11,0,13,12
"Block Group 2, Census Tract 2118.04, Los Angeles County, California",ca,150,00,06,037,211804,2,Block Group 2,42132,64526.4367816092,54342,1006,139,66,43,0,151,42,33,34,28,91,83,110,100,21,44,21
"Block Group 1, Census Tract 2119.10, Los Angeles County, California",ca,150,00,06,037,211910,1,Block Group 1,46324,74291.4498141264,56223,674,33,0,56,28,0,0,148,54,34,42,28,117,53,46,35,0
"Block Group 2, Census Tract 2119.10, Los Angeles County, California",ca,150,00,06,037,211910,2,Block Group 2,55625,57842.1725239617,60257,640,32,22,19,69,18,81,26,32,9,24,109,181,0,17,1,0
"Block Group 3, Census Tract 2119.10, Los Angeles County, California",ca,150,00,06,037,211910,3,Block Group 3,70516,59823.2638888889,53750,608,9,18,0,0,24,13,26,93,9,25,137,208,25,21,0,0
"Block Group 1, Census Tract 2119.21, Los Angeles County, California",ca,150,00,06,037,211921,1,Block Group 1,37849,53185.6299212598,48582,934,105,66,27,108,64,71,63,26,67,49,77,105,56,33,0,17
"Block Group 1, Census Tract 2119.22, Los Angeles County, California",ca,150,00,06,037,211922,1,Block Group 1,51944,60109.5419847328,52222,512,19,37,0,20,52,70,0,17,20,72,59,73,46,20,0,7
"Block Group 2, Census Tract 2119.22, Los Angeles County, California",ca,150,00,06,037,211922,2,Block Group 2,49844,66873.4831460674,55116,867,64,15,6,28,111,72,23,78,38,134,104,99,6,28,51,10
"Block Group 1, Census Tract 2121.01, Los Angeles County, California",ca,150,00,06,037,212101,1,Block Group 1,80188,168425.339366516,104051,521,127,0,16,0,23,18,7,5,28,35,0,43,121,47,30,21
"Block Group 2, Census Tract 2121.01, Los Angeles County, California",ca,150,00,06,037,212101,2,Block Group 2,52840,89206.0283687943,,999,222,37,36,32,9,110,9,32,0,136,48,58,50,112,79,29
"Block Group 1, Census Tract 2121.02, Los Angeles County, California",ca,150,00,06,037,212102,1,Block Group 1,31007,54645.9677419355,,525,9,156,25,58,0,74,0,34,0,0,18,63,28,52,8,0
"Block Group 2, Census Tract 2121.02, Los Angeles County, California",ca,150,00,06,037,212102,2,Block Group 2,39886,59327.1111111111,43611,693,69,0,27,54,44,105,49,37,53,58,68,34,31,22,10,32
"Block Group 1, Census Tract 2122.02, Los Angeles County, California",ca,150,00,06,037,212202,1,Block Group 1,53828,60974.9295774648,54661,809,100,69,67,0,72,8,11,52,0,64,89,181,46,50,0,0
"Block Group 2, Census Tract 2122.02, Los Angeles County, California",ca,150,00,06,037,212202,2,Block Group 2,51420,61412.2676579926,68992,473,13,43,29,27,0,77,9,26,0,53,61,106,17,12,0,0
"Block Group 1, Census Tract 2122.03, Los Angeles County, California",ca,150,00,06,037,212203,1,Block Group 1,83388,107148.469387755,102188,587,85,28,19,0,8,0,10,10,26,11,68,68,72,74,25,83
"Block Group 2, Census Tract 2122.03, Los Angeles County, California",ca,150,00,06,037,212203,2,Block Group 2,27105,35188.9400921659,22284,906,91,192,77,61,85,15,88,38,93,54,71,32,0,0,0,9
"Block Group 1, Census Tract 2122.04, Los Angeles County, California",ca,150,00,06,037,212204,1,Block Group 1,45313,72339.2330383481,68693,795,99,96,9,0,60,11,55,66,12,87,114,93,78,0,15,0
"Block Group 2, Census Tract 2122.04, Los Angeles County, California",ca,150,00,06,037,212204,2,Block Group 2,29962,50822.7053140097,27616,665,0,58,80,86,110,40,11,54,0,84,61,43,0,18,0,20
"Block Group 1, Census Tract 2123.03, Los Angeles County, California",ca,150,00,06,037,212303,1,Block Group 1,27539,76365.2173913044,,621,122,35,13,18,154,58,0,24,19,14,19,58,28,0,20,39
"Block Group 2, Census Tract 2123.03, Los Angeles County, California",ca,150,00,06,037,212303,2,Block Group 2,58058,77774.3243243243,58553,982,83,146,9,34,21,108,17,0,16,144,119,55,100,26,66,38
"Block Group 1, Census Tract 2123.04, Los Angeles County, California",ca,150,00,06,037,212304,1,Block Group 1,41206,49262.6506024096,41330,771,45,114,34,39,25,45,42,101,21,120,90,45,7,25,13,5
"Block Group 1, Census Tract 2123.05, Los Angeles County, California",ca,150,00,06,037,212305,1,Block Group 1,46615,59825.4205607477,47240,941,75,96,23,62,49,82,38,30,38,46,187,77,56,24,41,17
"Block Group 1, Census Tract 2123.06, Los Angeles County, California",ca,150,00,06,037,212306,1,Block Group 1,55741,81515.9090909091,82500,598,27,46,72,47,13,33,11,15,12,47,36,63,52,107,8,9
"Block Group 2, Census Tract 2123.06, Los Angeles County, California",ca,150,00,06,037,212306,2,Block Group 2,52933,70954.4910179641,58036,509,29,39,74,0,4,0,9,28,49,71,93,40,12,11,35,15
"Block Group 1, Census Tract 2124.10, Los Angeles County, California",ca,150,00,06,037,212410,1,Block Group 1,80952,102850,100938,428,51,19,0,0,12,8,6,25,0,54,24,51,30,11,117,20
"Block Group 2, Census Tract 2124.10, Los Angeles County, California",ca,150,00,06,037,212410,2,Block Group 2,43646,74447.8927203065,44688,463,46,34,7,37,29,20,10,55,15,33,32,52,27,34,0,32
"Block Group 3, Census Tract 2124.10, Los Angeles County, California",ca,150,00,06,037,212410,3,Block Group 3,41750,55242.2727272727,48944,638,81,65,69,8,20,20,21,50,82,79,40,32,21,43,7,0
"Block Group 1, Census Tract 2124.20, Los Angeles County, California",ca,150,00,06,037,212420,1,Block Group 1,46921,56184.3558282209,46707,627,25,39,9,61,25,23,38,52,85,89,64,72,10,7,28,0
"Block Group 2, Census Tract 2124.20, Los Angeles County, California",ca,150,00,06,037,212420,2,Block Group 2,53652,56856.5573770492,46200,497,12,27,21,65,18,19,0,13,50,51,66,90,18,24,23,0
"Block Group 1, Census Tract 2125.01, Los Angeles County, California",ca,150,00,06,037,212501,1,Block Group 1,47574,105213.294797688,66250,905,87,7,55,81,36,95,35,56,17,46,92,109,50,9,61,69
"Block Group 1, Census Tract 2125.02, Los Angeles County, California",ca,150,00,06,037,212502,1,Block Group 1,81563,99037.9746835443,90568,733,36,19,15,0,12,37,9,60,108,36,16,127,71,41,58,88
"Block Group 2, Census Tract 2125.02, Los Angeles County, California",ca,150,00,06,037,212502,2,Block Group 2,56354,63954.5454545455,61594,684,14,43,49,41,20,50,39,18,0,79,127,66,0,31,87,20
"Block Group 1, Census Tract 2126.10, Los Angeles County, California",ca,150,00,06,037,212610,1,Block Group 1,66648,117609.751434034,71250,1077,76,56,69,74,33,67,18,0,74,28,75,87,87,46,34,253
"Block Group 2, Census Tract 2126.10, Los Angeles County, California",ca,150,00,06,037,212610,2,Block Group 2,65833,92999.3318485523,57478,840,30,60,0,10,40,95,9,56,19,73,73,111,109,45,41,69
"Block Group 1, Census Tract 2126.20, Los Angeles County, California",ca,150,00,06,037,212620,1,Block Group 1,41197,87093.4560327198,33906,837,73,100,32,44,105,42,0,47,91,49,52,22,33,25,72,50
"Block Group 2, Census Tract 2126.20, Los Angeles County, California",ca,150,00,06,037,212620,2,Block Group 2,51583,77380.4232804233,73438,941,108,43,38,91,85,34,9,23,30,34,170,53,157,34,24,8
"Block Group 1, Census Tract 2127.01, Los Angeles County, California",ca,150,00,06,037,212701,1,Block Group 1,71563,139373.454545455,105625,802,30,46,0,33,59,5,66,12,28,75,53,90,67,48,78,112
"Block Group 1, Census Tract 2127.02, Los Angeles County, California",ca,150,00,06,037,212702,1,Block Group 1,103375,197660.322580645,146833,662,76,0,0,0,0,0,20,9,32,61,48,71,76,47,112,110
"Block Group 2, Census Tract 2127.02, Los Angeles County, California",ca,150,00,06,037,212702,2,Block Group 2,56667,165271.084337349,119545,528,34,40,9,24,9,0,48,28,23,57,29,18,20,41,50,98
"Block Group 3, Census Tract 2127.02, Los Angeles County, California",ca,150,00,06,037,212702,3,Block Group 3,145083,269291.275167785,147250,187,0,0,0,12,23,11,0,8,12,0,0,20,0,22,8,71
"Block Group 1, Census Tract 2128, Los Angeles County, California",ca,150,00,06,037,212800,1,Block Group 1,88333,128579.411764706,110000,548,0,0,0,18,26,0,10,73,46,0,97,34,6,91,46,101
"Block Group 2, Census Tract 2128, Los Angeles County, California",ca,150,00,06,037,212800,2,Block Group 2,100438,164265.416666667,,386,35,49,0,48,0,0,4,9,9,16,0,16,54,0,21,125
"Block Group 3, Census Tract 2128, Los Angeles County, California",ca,150,00,06,037,212800,3,Block Group 3,41875,108247.093023256,,382,52,21,47,0,8,0,45,24,0,56,7,29,10,7,37,39
"Block Group 1, Census Tract 2129, Los Angeles County, California",ca,150,00,06,037,212900,1,Block Group 1,81979,197696.271186441,92227,479,0,0,24,12,25,7,5,0,9,31,24,199,13,0,14,116
"Block Group 2, Census Tract 2129, Los Angeles County, California",ca,150,00,06,037,212900,2,Block Group 2,38261,52380.6678383128,33854,1006,70,86,10,52,59,129,145,0,76,53,26,146,67,31,50,6
"Block Group 1, Census Tract 2131, Los Angeles County, California",ca,150,00,06,037,213100,1,Block Group 1,42375,75074.4136460554,55491,695,39,108,45,60,18,27,41,17,30,39,71,10,88,14,41,47
"Block Group 2, Census Tract 2131, Los Angeles County, California",ca,150,00,06,037,213100,2,Block Group 2,84261,182092.385786802,121875,353,19,0,6,3,0,10,5,12,0,76,22,40,49,17,5,89
"Block Group 1, Census Tract 2132.01, Los Angeles County, California",ca,150,00,06,037,213201,1,Block Group 1,40169,46875.3424657534,34886,486,30,75,0,27,64,33,10,59,20,29,22,58,50,0,0,9
"Block Group 2, Census Tract 2132.01, Los Angeles County, California",ca,150,00,06,037,213201,2,Block Group 2,40472,71733.5917312661,51250,649,66,44,19,67,32,50,38,53,13,11,52,72,45,0,52,35
"Block Group 3, Census Tract 2132.01, Los Angeles County, California",ca,150,00,06,037,213201,3,Block Group 3,43750,49571.4859437751,46382,522,33,41,19,67,29,21,26,30,56,65,41,42,36,0,16,0
"Block Group 1, Census Tract 2132.02, Los Angeles County, California",ca,150,00,06,037,213202,1,Block Group 1,64293,68170.6896551724,64474,389,20,11,0,11,25,16,34,0,0,23,112,77,31,25,4,0
"Block Group 2, Census Tract 2132.02, Los Angeles County, California",ca,150,00,06,037,213202,2,Block Group 2,52311,67613.0281690141,52727,839,77,67,13,31,27,15,56,43,60,64,117,107,11,28,77,46
"Block Group 1, Census Tract 2133.10, Los Angeles County, California",ca,150,00,06,037,213310,1,Block Group 1,65556,71185.7506361323,66991,496,105,48,0,0,0,16,0,51,0,16,49,179,0,0,0,32
"Block Group 2, Census Tract 2133.10, Los Angeles County, California",ca,150,00,06,037,213310,2,Block Group 2,75511,84087.2791519435,82371,421,59,6,0,0,0,31,15,3,11,30,51,97,60,17,24,17
"Block Group 1, Census Tract 2133.20, Los Angeles County, California",ca,150,00,06,037,213320,1,Block Group 1,29047,84307.5675675676,36667,519,10,119,48,20,85,21,66,20,0,16,27,0,0,0,0,87
"Block Group 2, Census Tract 2133.20, Los Angeles County, California",ca,150,00,06,037,213320,2,Block Group 2,40231,80689.3939393939,73438,437,20,42,20,0,62,72,0,27,23,0,42,45,17,34,33,0
"Block Group 1, Census Tract 2134.01, Los Angeles County, California",ca,150,00,06,037,213401,1,Block Group 1,41691,48573.9352640545,38875,808,38,70,22,74,98,69,10,50,63,68,62,112,8,32,16,16
"Block Group 2, Census Tract 2134.01, Los Angeles County, California",ca,150,00,06,037,213401,2,Block Group 2,69559,71886.4864864865,71023,386,0,0,31,0,8,34,32,59,0,0,54,137,0,0,31,0
"Block Group 3, Census Tract 2134.01, Los Angeles County, California",ca,150,00,06,037,213401,3,Block Group 3,46447,54707.6923076923,46382,454,22,21,18,27,23,13,69,23,19,16,46,128,10,17,2,0
"Block Group 1, Census Tract 2134.02, Los Angeles County, California",ca,150,00,06,037,213402,1,Block Group 1,57882,62801.1257035647,58316,766,29,51,41,18,0,63,14,38,44,229,72,90,9,25,31,12
"Block Group 2, Census Tract 2134.02, Los Angeles County, California",ca,150,00,06,037,213402,2,Block Group 2,53929,62052.1276595745,53553,408,0,37,10,11,30,0,9,32,26,61,79,24,63,18,0,8
"Block Group 3, Census Tract 2134.02, Los Angeles County, California",ca,150,00,06,037,213402,3,Block Group 3,31985,81135.734870317,41442,561,86,51,44,72,14,34,11,38,29,62,46,12,42,10,0,10
"Block Group 1, Census Tract 2140, Los Angeles County, California",ca,150,00,06,037,214000,1,Block Group 1,203516,263218.565400844,232946,333,0,0,0,0,19,0,0,0,12,9,47,14,22,14,10,186
"Block Group 2, Census Tract 2140, Los Angeles County, California",ca,150,00,06,037,214000,2,Block Group 2,85000,217417.910447761,124444,238,0,0,0,0,0,27,29,0,0,31,12,27,16,26,9,61
"Block Group 3, Census Tract 2140, Los Angeles County, California",ca,150,00,06,037,214000,3,Block Group 3,168026,248071.502590674,250001,332,25,0,0,31,14,0,5,0,0,0,0,38,21,7,54,137
"Block Group 4, Census Tract 2140, Los Angeles County, California",ca,150,00,06,037,214000,4,Block Group 4,147788,192170.658682635,138594,295,8,0,8,0,0,0,0,0,7,0,0,88,27,21,0,136
"Block Group 1, Census Tract 2141, Los Angeles County, California",ca,150,00,06,037,214100,1,Block Group 1,118250,204911.538461538,177604,588,15,20,13,14,0,8,35,23,26,10,11,84,63,44,115,107
"Block Group 2, Census Tract 2141, Los Angeles County, California",ca,150,00,06,037,214100,2,Block Group 2,250001,415223.383084577,250001,228,0,0,0,12,0,7,0,0,7,6,0,0,0,0,38,158
"Block Group 3, Census Tract 2141, Los Angeles County, California",ca,150,00,06,037,214100,3,Block Group 3,,483013.669064748,250001,252,7,0,20,0,0,0,0,8,0,23,39,48,0,6,0,101
"Block Group 4, Census Tract 2141, Los Angeles County, California",ca,150,00,06,037,214100,4,Block Group 4,143750,183898.742138365,169554,646,0,0,12,0,61,0,8,10,29,11,32,92,32,43,104,212
"Block Group 1, Census Tract 2144, Los Angeles County, California",ca,150,00,06,037,214400,1,Block Group 1,87273,173219.900497512,117841,522,10,8,24,28,17,9,0,7,17,30,57,67,78,24,59,87
"Block Group 2, Census Tract 2144, Los Angeles County, California",ca,150,00,06,037,214400,2,Block Group 2,97847,192243.859649123,143611,607,30,10,8,0,107,0,0,25,0,0,38,101,44,52,82,110
"Block Group 3, Census Tract 2144, Los Angeles County, California",ca,150,00,06,037,214400,3,Block Group 3,94413,118405.607476636,,601,29,69,11,0,0,0,0,0,0,21,8,174,22,37,63,167
"Block Group 1, Census Tract 2145.01, Los Angeles County, California",ca,150,00,06,037,214501,1,Block Group 1,102466,117198.684210526,101111,177,0,0,0,0,0,0,0,9,0,0,9,34,55,32,21,17
"Block Group 2, Census Tract 2145.01, Los Angeles County, California",ca,150,00,06,037,214501,2,Block Group 2,109953,241250.865051903,190550,846,98,40,0,0,30,0,0,0,0,80,15,78,116,66,142,181
"Block Group 3, Census Tract 2145.01, Los Angeles County, California",ca,150,00,06,037,214501,3,Block Group 3,100242,130050.738916256,107978,628,10,11,19,14,40,0,0,7,22,14,48,126,166,32,13,106
"Block Group 1, Census Tract 2145.03, Los Angeles County, California",ca,150,00,06,037,214503,1,Block Group 1,61471,129353.714285714,141063,424,75,32,19,0,11,29,17,0,0,9,55,46,7,42,67,15
"Block Group 2, Census Tract 2145.03, Los Angeles County, California",ca,150,00,06,037,214503,2,Block Group 2,88320,112829.423868313,93214,907,64,7,24,29,8,17,0,34,23,62,77,204,65,87,113,93
"Block Group 3, Census Tract 2145.03, Los Angeles County, California",ca,150,00,06,037,214503,3,Block Group 3,93125,167129.310344828,,186,15,0,0,10,0,0,17,4,0,19,0,31,61,0,0,29
"Block Group 1, Census Tract 2145.04, Los Angeles County, California",ca,150,00,06,037,214504,1,Block Group 1,113958,71089.8692810458,,804,47,8,65,17,0,31,39,0,22,38,0,40,153,96,172,76
"Block Group 2, Census Tract 2145.04, Los Angeles County, California",ca,150,00,06,037,214504,2,Block Group 2,86472,251257.142857143,120966,893,122,0,45,0,24,8,29,0,61,46,85,68,148,23,94,140
"Block Group 1, Census Tract 2145.05, Los Angeles County, California",ca,150,00,06,037,214505,1,Block Group 1,82148,174835.034013605,94286,935,94,21,0,26,7,74,7,0,0,69,142,130,39,0,75,251
"Block Group 1, Census Tract 2146, Los Angeles County, California",ca,150,00,06,037,214600,1,Block Group 1,89583,186520.792079208,166875,391,41,11,0,12,0,8,0,38,0,24,36,60,24,9,73,55
"Block Group 2, Census Tract 2146, Los Angeles County, California",ca,150,00,06,037,214600,2,Block Group 2,126696,218752.5,,373,15,10,0,18,8,0,0,0,0,0,11,31,84,14,68,114
"Block Group 3, Census Tract 2146, Los Angeles County, California",ca,150,00,06,037,214600,3,Block Group 3,114583,397822.077922078,250001,508,16,33,0,32,0,0,0,0,0,47,11,54,68,18,33,196
"Block Group 1, Census Tract 2147, Los Angeles County, California",ca,150,00,06,037,214700,1,Block Group 1,136354,123944.262295082,,473,41,25,7,14,11,6,0,9,10,70,0,25,12,19,94,130
"Block Group 2, Census Tract 2147, Los Angeles County, California",ca,150,00,06,037,214700,2,Block Group 2,115682,351438.818565401,196645,362,28,5,0,24,12,0,0,5,0,20,19,29,55,11,38,116
"Block Group 3, Census Tract 2147, Los Angeles County, California",ca,150,00,06,037,214700,3,Block Group 3,,240707.594936709,175385,374,44,0,0,0,6,6,7,0,7,0,106,16,7,29,13,133
"Block Group 1, Census Tract 2148, Los Angeles County, California",ca,150,00,06,037,214800,1,Block Group 1,124674,189512.087912088,161667,642,43,0,0,20,23,25,52,14,12,45,8,55,27,80,82,156
"Block Group 2, Census Tract 2148, Los Angeles County, California",ca,150,00,06,037,214800,2,Block Group 2,125278,272622.972972973,221250,306,15,0,20,13,0,0,0,0,0,17,6,39,42,66,34,54
"Block Group 3, Census Tract 2148, Los Angeles County, California",ca,150,00,06,037,214800,3,Block Group 3,,625027.731092437,250001,487,52,54,7,0,28,0,0,0,11,9,7,87,8,58,29,137
"Block Group 1, Census Tract 2149.02, Los Angeles County, California",ca,150,00,06,037,214902,1,Block Group 1,165862,197678.125,,524,0,0,0,10,0,0,22,10,42,10,66,50,32,0,71,211
"Block Group 2, Census Tract 2149.02, Los Angeles County, California",ca,150,00,06,037,214902,2,Block Group 2,111292,108074.084507042,113651,949,72,9,31,24,30,29,14,62,0,55,50,83,128,186,86,90
"Block Group 1, Census Tract 2149.03, Los Angeles County, California",ca,150,00,06,037,214903,1,Block Group 1,82684,236464.912280702,,453,47,0,22,0,0,11,0,0,58,17,39,130,19,17,54,39
"Block Group 2, Census Tract 2149.03, Los Angeles County, California",ca,150,00,06,037,214903,2,Block Group 2,,127058.088235294,,632,96,76,0,0,7,9,192,0,0,9,0,98,69,19,14,43
"Block Group 1, Census Tract 2149.04, Los Angeles County, California",ca,150,00,06,037,214904,1,Block Group 1,154423,243860.476190476,250001,660,36,0,0,0,22,0,57,21,0,35,0,131,18,0,110,230
"Block Group 2, Census Tract 2149.04, Los Angeles County, California",ca,150,00,06,037,214904,2,Block Group 2,115927,243170.32967033,250001,187,0,0,24,0,0,0,0,0,0,13,0,45,31,8,6,60
"Block Group 1, Census Tract 2151.01, Los Angeles County, California",ca,150,00,06,037,215101,1,Block Group 1,103750,214833.098591549,205515,1150,44,78,0,51,40,12,0,26,11,108,93,99,110,105,78,295
"Block Group 2, Census Tract 2151.01, Los Angeles County, California",ca,150,00,06,037,215101,2,Block Group 2,59003,64290.756302521,68438,685,125,41,0,0,0,14,9,65,34,84,29,85,68,52,79,0
"Block Group 1, Census Tract 2151.02, Los Angeles County, California",ca,150,00,06,037,215102,1,Block Group 1,91250,111689.887640449,111094,876,129,0,0,21,0,0,16,31,0,58,80,235,216,39,21,30
"Block Group 2, Census Tract 2151.02, Los Angeles County, California",ca,150,00,06,037,215102,2,Block Group 2,106845,,,401,45,20,0,17,32,0,0,0,0,0,26,45,37,88,29,62
"Block Group 3, Census Tract 2151.02, Los Angeles County, California",ca,150,00,06,037,215102,3,Block Group 3,79269,124301.801801802,140991,729,0,0,0,81,0,0,0,0,30,17,182,110,82,113,97,17
"Block Group 1, Census Tract 2161, Los Angeles County, California",ca,150,00,06,037,216100,1,Block Group 1,163114,274788.461538462,150278,271,0,30,0,0,0,15,0,0,0,0,0,47,3,0,97,79
"Block Group 2, Census Tract 2161, Los Angeles County, California",ca,150,00,06,037,216100,2,Block Group 2,116731,292909.5,173750,370,5,0,0,0,0,42,38,27,0,41,23,0,13,29,22,130
"Block Group 3, Census Tract 2161, Los Angeles County, California",ca,150,00,06,037,216100,3,Block Group 3,107813,159462.992125984,155625,321,0,5,0,0,0,0,0,12,8,24,48,36,38,8,70,72
"Block Group 1, Census Tract 2162.01, Los Angeles County, California",ca,150,00,06,037,216201,1,Block Group 1,109583,299390.287769784,146667,587,0,20,0,71,0,0,32,17,0,48,36,42,72,9,128,112
"Block Group 2, Census Tract 2162.01, Los Angeles County, California",ca,150,00,06,037,216201,2,Block Group 2,110438,167289.010989011,,840,19,40,49,16,0,0,52,86,0,0,28,47,201,45,88,169
"Block Group 1, Census Tract 2162.02, Los Angeles County, California",ca,150,00,06,037,216202,1,Block Group 1,101295,135644.398340249,118398,571,0,12,8,18,0,69,14,43,14,18,27,48,121,59,20,100
"Block Group 2, Census Tract 2162.02, Los Angeles County, California",ca,150,00,06,037,216202,2,Block Group 2,77768,187572.983870968,190250,804,31,0,0,24,0,13,38,142,32,35,70,67,104,12,77,159
"Block Group 1, Census Tract 2163.01, Los Angeles County, California",ca,150,00,06,037,216301,1,Block Group 1,,388059.776536313,248919,598,18,0,0,0,7,0,0,0,0,19,36,188,25,24,18,263
"Block Group 1, Census Tract 2163.02, Los Angeles County, California",ca,150,00,06,037,216302,1,Block Group 1,98611,97035.0553505535,97917,828,49,23,0,0,23,34,43,43,0,29,71,104,132,67,74,136
"Block Group 2, Census Tract 2163.02, Los Angeles County, California",ca,150,00,06,037,216302,2,Block Group 2,94837,185700.333333333,147361,899,82,20,69,52,12,33,21,0,0,16,61,85,69,52,105,222
"Block Group 1, Census Tract 2164.01, Los Angeles County, California",ca,150,00,06,037,216401,1,Block Group 1,91339,150705.303030303,136125,734,49,0,19,0,0,12,16,66,24,24,92,97,134,51,12,138
"Block Group 2, Census Tract 2164.01, Los Angeles County, California",ca,150,00,06,037,216401,2,Block Group 2,109148,245636.842105263,144500,377,66,0,0,0,0,32,17,17,0,24,0,18,22,18,125,38
"Block Group 3, Census Tract 2164.01, Los Angeles County, California",ca,150,00,06,037,216401,3,Block Group 3,98297,122416.93989071,,514,14,0,27,34,15,0,21,0,0,21,14,158,60,0,51,99
"Block Group 1, Census Tract 2164.02, Los Angeles County, California",ca,150,00,06,037,216402,1,Block Group 1,97917,103887.428571429,77981,634,10,5,0,46,0,30,0,0,42,0,80,119,20,70,67,145
"Block Group 2, Census Tract 2164.02, Los Angeles County, California",ca,150,00,06,037,216402,2,Block Group 2,86638,105219,96500,580,87,7,25,11,27,0,0,10,11,33,19,135,125,24,17,49
"Block Group 1, Census Tract 2167, Los Angeles County, California",ca,150,00,06,037,216700,1,Block Group 1,81875,201486.111111111,80313,639,22,7,17,64,19,38,18,8,43,16,39,53,96,9,111,79
"Block Group 2, Census Tract 2167, Los Angeles County, California",ca,150,00,06,037,216700,2,Block Group 2,104818,178230.803571429,198452,547,35,12,35,28,0,30,8,0,13,9,23,36,87,36,53,142
"Block Group 3, Census Tract 2167, Los Angeles County, California",ca,150,00,06,037,216700,3,Block Group 3,133750,210253.629032258,143333,428,12,21,26,0,9,5,0,0,18,0,34,39,4,117,36,107
"Block Group 1, Census Tract 2168, Los Angeles County, California",ca,150,00,06,037,216800,1,Block Group 1,112813,239211.86440678,234643,376,7,0,0,0,0,8,0,0,42,40,14,45,39,0,72,109
"Block Group 2, Census Tract 2168, Los Angeles County, California",ca,150,00,06,037,216800,2,Block Group 2,112292,188792.6910299,155644,465,0,0,0,41,30,0,27,0,0,21,54,43,29,34,83,103
"Block Group 3, Census Tract 2168, Los Angeles County, California",ca,150,00,06,037,216800,3,Block Group 3,116111,176599.459459459,,314,19,0,0,0,19,19,23,17,8,24,18,6,9,60,7,85
"Block Group 4, Census Tract 2168, Los Angeles County, California",ca,150,00,06,037,216800,4,Block Group 4,184559,224155,,258,0,0,0,0,7,0,0,34,0,6,10,27,15,0,33,126
"Block Group 1, Census Tract 2169.01, Los Angeles County, California",ca,150,00,06,037,216901,1,Block Group 1,144737,229764.253393665,181092,584,0,38,0,41,0,42,0,0,17,41,16,47,33,19,152,138
